Countries,Speed in Mbps
Country,Mbps
                                  South Korea                                ,100.22
                                  United Arab Emirates                                ,99.67
                                  China                                ,97.10
                                  Qatar                                ,89.11
                                  Netherlands                                ,73.69
                                  Canada                                ,71.32
                                  Bulgaria                                ,67.67
                                  Australia                                ,67.58
                                  Norway                                ,67.40
                                  Saudi Arabia                                ,62.33
                                  Croatia                                ,61.31
                                  Switzerland                                ,57.31
                                  Singapore                                ,56.87
                                  Albania                                ,56.52
                                  New Zealand                                ,55.01
                                  Sweden                                ,51.86
                                  Austria                                ,51.12
                                  North Macedonia                                ,51.07
                                  Hong Kong (SAR)                                ,50.31
                                  Denmark                                ,49.90
                                  Macau (SAR)                                ,49.73
                                  Estonia                                ,49.57
                                  Lithuania                                ,49.44
                                  France                                ,48.45
                                  Luxembourg                                ,48.33
                                  Cyprus                                ,48.07
                                  Belgium                                ,48.07
                                  Serbia                                ,47.91
                                  Taiwan                                ,47.86
                                  Czechia                                ,47.78
                                  Malta                                ,47.64
                                  Finland                                ,46.86
                                  Montenegro                                ,45.27
                                  Lebanon                                ,44.65
                                  United States                                ,44.31
                                  Hungary                                ,42.77
                                  Kuwait                                ,42.44
                                  Slovenia                                ,40.52
                                  Greece                                ,39.37
                                  Bahrain                                ,38.62
                                  Romania                                ,38.26
                                  Italy                                ,38.24
                                  Germany                                ,38.10
                                  Slovakia                                ,37.52
                                  Portugal                                ,36.95
                                  Japan                                ,36.72
                                  United Kingdom                                ,36.38
                                  Moldova                                ,35.53
                                  Bosnia and Herzegovina                                ,35.49
                                  Oman                                ,34.86
                                  Armenia                                ,34.84
                                  Morocco                                ,34.69
                                  Spain                                ,34.67
                                  Jamaica                                ,34.67
                                  Poland                                ,34.51
                                  Trinidad and Tobago                                ,33.68
                                  Turkey                                ,33.48
                                  Kosovo                                ,33.46
                                  Latvia                                ,33.16
                                  Vietnam                                ,32.83
                                  Uruguay                                ,32.32
                                  South Africa                                ,31.80
                                  Thailand                                ,31.23
                                  Mexico                                ,30.80
                                  Azerbaijan                                ,29.70
                                  The Bahamas                                ,29.06
                                  Iran                                ,28.83
                                  Fiji                                ,28.45
                                  Tunisia                                ,28.44
                                  Cuba                                ,27.94
                                  Ireland                                ,27.74
                                  Argentina                                ,27.17
                                  Brazil                                ,26.46
                                  Maldives                                ,26.25
                                  Georgia                                ,25.97
                                  Jordan                                ,25.59
                                  Guatemala                                ,25.12
                                  Ukraine                                ,24.64
                                  Republic of the Union of Myanmar                                ,24.32
                                  Senegal                                ,24.23
                                  Belize                                ,23.78
                                  Dominican Republic                                ,23.66
                                  Mauritius                                ,23.35
                                  Costa Rica                                ,23.15
                                  Angola                                ,22.52
                                  Israel                                ,22.46
                                  Ecuador                                ,22.30
                                  Suriname                                ,22.25
                                  Malaysia                                ,22.18
                                  Nicaragua                                ,21.92
                                  Laos                                ,21.85
                                  Honduras                                ,21.70
                                  Kenya                                ,21.42
                                  Syria                                ,21.32
                                  Peru                                ,21.30
                                  Kazakhstan                                ,20.92
                                  Mongolia                                ,20.84
                                  Russia                                ,20.27
                                  Egypt                                ,19.98
                                  Colombia                                ,18.83
                                  Chile                                ,18.47
                                  Bolivia                                ,18.45
